Country,"Ethnic Fractionalization","Linguistic Fractionalization","Religious Fractionalization"
 Mauritius,0.463400,0.454700,0.638500
 Mayotte,0.000000,0.721200,0.062000
 Mexico,0.541800,0.151100,0.179600
 Micronesia,0.700500,0.748300,0.646900
 Moldova,0.553500,0.553300,0.560300
 Monaco,0.683800,0.730500,0.304700
 Mongolia,0.368200,0.373400,0.079900
 Morocco,0.484100,0.468300,0.003500
 Mozambique,0.693200,0.812500,0.675900
 Burma,0.506200,0.507200,0.197400
 Namibia,0.632900,0.700500,0.662600
 Nauru,0.583200,0.616100,0.619400
 Nepal,0.663200,0.716700,0.141700
 Netherlands Antilles,0.000000,0.250800,0.386600
 Netherlands,0.105400,0.514300,0.722200
 New Caledonia,0.000000,0.663300,0.546200
 New Zealand,0.396900,0.165700,0.811000
 Nicaragua,0.484400,0.047300,0.429000
 Niger,0.651800,0.651900,0.201300
 Nigeria,0.850500,0.831600,0.742100
 Northern Mariana Islands,0.000000,0.775400,0.481100
 Norway,0.058600,0.067300,0.204800
 Oman,0.437300,0.356700,0.432200
 Pakistan,0.709800,0.719000,0.384800
 Palau,0.431200,0.315700,0.714700
 Panama,0.552800,0.387300,0.333800
 Papua New Guinea,0.271800,0.352600,0.552300
 Paraguay,0.168900,0.597500,0.212300
 Peru,0.656600,0.335800,0.198800
 Philippines,0.238500,0.836000,0.305600
 Poland,0.118300,0.046800,0.171200
 Portugal,0.046800,0.019800,0.143800
 Puerto Rico,0.000000,0.035200,0.495200
 Qatar,0.745600,0.480000,0.095000
 Réunion,0.000000,0.157800,0.195200
 Romania,0.306900,0.172300,0.237300
 Russia,0.245200,0.248500,0.439800
 Rwanda,0.323800,0.000000,0.506600
 Saint Lucia,0.176900,0.316900,0.332000
 Saint Vincent and the Grenadines,0.306600,0.017500,0.702800
 Western Samoa,0.137600,0.011100,0.787100
 San Marino,0.292700,0.000000,0.197500
 São Tomé and Príncipe,0.000000,0.232200,0.186600
 Saudi Arabia,0.180000,0.094900,0.127000
 Senegal,0.693900,0.708100,0.149700
 Serbia,0.573600,-,-
 Seychelles,0.202500,0.160600,0.232300
 Sierra Leone,0.819100,0.763400,0.539500
 Singapore,0.385700,0.383500,0.656100
 Slovakia,0.253900,0.255100,0.565500
 Slovenia,0.221600,0.220100,0.286800
 Solomon Islands,0.111000,0.525400,0.670800
 Somalia,0.811700,0.032600,0.002800
 South Africa,0.751700,0.865200,0.860300
 Spain,0.416500,0.413200,0.451400
 Sri Lanka,0.415000,0.464500,0.485300
 Saint Kitts and Nevis,0.184200,-,0.661400
 Sudan,0.714700,0.719000,0.430700
 Suriname,0.733200,0.331000,0.791000
 Swaziland,0.058200,0.172200,0.444400
 Sweden,0.060000,0.196800,0.234200
 Switzerland,0.531400,0.544100,0.608300
 Syria,0.539900,0.181700,0.431000
 Taiwan,0.274400,0.502800,0.684500
 Tajikistan,0.510700,0.547300,0.338600
 Tanzania,0.735300,0.898300,0.633400
 Thailand,0.633800,0.634400,0.099400
 Togo,0.709900,0.898000,0.659600
 Tonga,0.086900,0.378200,0.621400
 Trinidad and Tobago,0.647500,0.125100,0.793600
 Tunisia,0.039400,0.012400,0.010400
 Turkey,0.320000,0.221600,0.004900
 Turkmenistan,0.391800,0.398400,0.232700
 Tuvalu,0.162900,0.137200,0.252400
 Uganda,0.930200,0.922700,0.633200
 Ukraine,0.473700,0.474100,0.615700
 United Arab Emirates,0.625200,0.487400,0.331000
 United Kingdom,0.121100,0.053200,0.694400
 United States,0.490100,0.564700,0.824100
 Uruguay,0.250400,0.081700,0.354800
 Uzbekistan,0.412500,0.412000,0.213300
 Vanuatu,0.041300,0.579400,0.704400
 Venezuela,0.496600,0.068600,0.135000
 Vietnam,0.238300,0.237700,0.508000
 U.S. Virgin Islands,0.000000,0.314000,0.635900
 West Bank,0.000000,0.143800,0.309500
 Yemen,0.000000,0.008000,0.002300
 Yugoslavia,0.809200,0.606400,0.553000
 Zambia,0.780800,0.873400,0.735900
 Zimbabwe,0.387400,0.447200,0.736300
