,country,region,incgroup4,parent,child,MEANp,MEANc,SDp,SDc,CAT,DIF,CAT_ISCED0,CAT_ISCED1,CAT_ISCED2,CAT_ISCED34,GEI %,Gender Economic Participation and Opportunity Equality %,Gender Education Attainment Equality %,Gender Health and Survival Equality %,Gender Political Empowerment,sub-region,Political Instability Estimate,IQ,Average Income (USD),"Education expenditure
per inhabitant (USD)","Daily maximum
temperature Celsius"
22,Angola,Sub-Saharan Africa,Lower middle income,mom,daughter,3.9025269,8.3892975,4.335134,6.3693528,0.54063463,4.7703528,0.49577102,0.62167311,0.74880421,0.68250257,0.657,0.646,0.759,0.976,0.245,Sub-Saharan Africa,-0.36,64,1073.0,44.0,27
23,Angola,Sub-Saharan Africa,Lower middle income,mom,son,3.9193025,9.9723301,4.0640597,5.480701,0.70722103,6.2711849,0.667373,0.82412505,0.8783251,0.68119967,0.657,0.646,0.759,0.976,0.245,Sub-Saharan Africa,-0.36,64,1073.0,44.0,27
24,Albania,Europe & Central Asia,Upper middle income,avg,all,4.506053,7.8830962,3.5561621,4.1896052,0.59172344,3.4521062,0.89328444,0.58574563,0.42781633,0.34879205,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
25,Albania,Europe & Central Asia,Upper middle income,avg,daughter,4.4986024,7.5065465,3.758558,4.1540074,0.57212859,3.1170628,0.81918669,0.57331985,0.42686138,0.30342039,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
26,Albania,Europe & Central Asia,Upper middle income,avg,son,4.5149469,8.3326025,3.3180318,4.2092667,0.61483306,3.8472462,1.0,0.60006189,0.42873874,0.41274324,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
27,Albania,Europe & Central Asia,Upper middle income,dad,all,5.0621214,7.9007483,3.7539427,4.1892529,0.60625011,2.983897,0.89512491,0.60347408,0.44212356,0.33432582,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
28,Albania,Europe & Central Asia,Upper middle income,dad,daughter,5.0750532,7.5418258,3.9601572,4.1566381,0.58637774,2.6806362,0.82440788,0.58883363,0.45631966,0.2622152,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
29,Albania,Europe & Central Asia,Upper middle income,dad,son,5.0465622,8.3326025,3.5104063,4.2092667,0.62968695,3.3415534,1.0,0.61911505,0.42469078,0.41978636,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
30,Albania,Europe & Central Asia,Upper middle income,max,all,5.1475158,7.8830962,3.8134203,4.1896052,0.59150279,2.8792591,0.89328444,0.58760166,0.42108318,0.35524002,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
31,Albania,Europe & Central Asia,Upper middle income,max,daughter,5.1076317,7.5065465,3.9879808,4.1540074,0.57679719,2.6124082,0.81918669,0.58170831,0.41022205,0.33220381,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
32,Albania,Europe & Central Asia,Upper middle income,max,son,5.195128,8.3326025,3.6142826,4.2092667,0.60870576,3.1914275,1.0,0.5943886,0.43193859,0.38274044,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
33,Albania,Europe & Central Asia,Upper middle income,mom,all,3.9789541,7.862474,3.7028382,4.185132,0.69424951,3.9525783,0.94059235,0.60899514,0.45266256,0.59308386,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
34,Albania,Europe & Central Asia,Upper middle income,mom,daughter,3.975332,7.4734602,3.8644142,4.1428447,0.66581708,3.6169317,0.89339006,0.5880996,0.40034547,0.52329659,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
35,Albania,Europe & Central Asia,Upper middle income,mom,son,3.9833314,8.3326025,3.5178115,4.2092667,0.72785306,4.3492708,1.0,0.63682926,0.49277997,0.67137855,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
36,Albania,Europe & Central Asia,Upper middle income,avg,all,6.6618299,10.934166,3.8459518,4.0296593,0.72990769,4.4787951,0.94487655,0.83271784,0.68744588,0.47823033,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
37,Albania,Europe & Central Asia,Upper middle income,avg,daughter,6.4042888,10.425445,3.8236704,3.9231086,0.73569143,4.2729592,0.93907529,0.78197235,0.75324863,0.28980631,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
38,Albania,Europe & Central Asia,Upper middle income,avg,son,6.9056315,11.415746,3.8604593,4.0793195,0.72457683,4.6685138,0.95046455,0.88438171,0.60666895,0.54570031,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
39,Albania,Europe & Central Asia,Upper middle income,dad,all,7.1333356,10.906694,4.088284,4.0371537,0.73452932,4.0400863,0.95437223,0.84783846,0.66640949,0.47051352,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
40,Albania,Europe & Central Asia,Upper middle income,dad,daughter,6.9483857,10.39322,3.994005,3.9395773,0.72635722,3.6951449,0.95342219,0.80806762,0.70967495,0.33435372,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
41,Albania,Europe & Central Asia,Upper middle income,dad,son,7.3062692,11.386809,4.1767406,4.077477,0.74209213,4.3593106,0.95544881,0.88435757,0.61439264,0.54328698,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
42,Albania,Europe & Central Asia,Upper middle income,max,all,7.3468747,10.934166,4.0553012,4.0296593,0.71560955,3.8563256,0.94487655,0.8393296,0.66050804,0.45476782,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
43,Albania,Europe & Central Asia,Upper middle income,max,daughter,7.1767488,10.425445,3.9622445,3.9231086,0.70920902,3.5065897,0.93907529,0.79468006,0.7061258,0.32328576,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
44,Albania,Europe & Central Asia,Upper middle income,max,son,7.507925,11.415746,4.1447535,4.0793195,0.72157794,4.1824489,0.95046455,0.88364571,0.60782856,0.52448797,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
45,Albania,Europe & Central Asia,Upper middle income,mom,all,6.1834993,10.936738,3.9975226,4.0251217,0.77414978,4.9224825,0.97099626,0.87462866,0.64859754,0.4799659,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
46,Albania,Europe & Central Asia,Upper middle income,mom,daughter,5.890842,10.433239,4.1357131,3.914902,0.77164596,4.7742753,0.97462022,0.84525031,0.67981911,0.31566375,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
47,Albania,Europe & Central Asia,Upper middle income,mom,son,6.4619217,11.415746,3.8510027,4.0793195,0.77646077,5.0592766,0.96509093,0.90259892,0.61937082,0.56192243,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
48,Albania,Europe & Central Asia,Upper middle income,avg,all,7.4412541,10.704932,3.4530306,3.9519584,0.67482567,3.4656959,0.94338334,0.87627,0.6392504,0.35680506,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
49,Albania,Europe & Central Asia,Upper middle income,avg,daughter,7.3351555,10.42376,3.4372575,3.9347231,0.65689689,3.3303146,0.9201138,0.8554768,0.58607179,0.39910731,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
50,Albania,Europe & Central Asia,Upper middle income,avg,son,7.5740194,11.056771,3.4756873,3.9539297,0.69746983,3.6366837,1.0,0.89942515,0.71971738,0.3176941,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
51,Albania,Europe & Central Asia,Upper middle income,dad,all,7.8017616,10.711228,3.7049601,3.9433563,0.68577182,3.1442847,0.94838798,0.88128364,0.65060157,0.33020788,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
52,Albania,Europe & Central Asia,Upper middle income,dad,daughter,7.6356983,10.42376,3.626308,3.9347231,0.67270505,3.0110486,0.92602348,0.85897619,0.61636382,0.34088412,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
53,Albania,Europe & Central Asia,Upper middle income,dad,son,8.0073013,11.067033,3.7979546,3.9335089,0.70227855,3.3125961,1.0,0.90719533,0.70089555,0.3199878,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
54,Albania,Europe & Central Asia,Upper middle income,max,all,8.1502943,10.704932,3.8266549,3.9519584,0.65386903,2.8691373,0.94338334,0.87396228,0.6260528,0.30125168,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
55,Albania,Europe & Central Asia,Upper middle income,max,daughter,8.0159483,10.42376,3.8358753,3.9347231,0.63892114,2.7655756,0.9201138,0.85346305,0.57377225,0.3453069,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
56,Albania,Europe & Central Asia,Upper middle income,max,son,8.3184061,11.056771,3.8168635,3.9539297,0.67284626,3.0006149,1.0,0.89701575,0.70491338,0.25876331,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
57,Albania,Europe & Central Asia,Upper middle income,mom,all,7.0474949,10.701511,3.6856165,3.9451127,0.74041247,3.8700147,0.96898258,0.89073402,0.67241436,0.3559362,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
58,Albania,Europe & Central Asia,Upper middle income,mom,daughter,6.9908218,10.420074,3.7285614,3.9221783,0.72773421,3.7021515,0.94795662,0.88539529,0.61999148,0.43008059,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
59,Albania,Europe & Central Asia,Upper middle income,mom,son,7.1190343,11.056771,3.6376266,3.9539297,0.75649351,4.082931,1.0,0.89732265,0.7424382,0.27643567,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
60,Albania,Europe & Central Asia,Upper middle income,avg,all,8.4149389,11.197372,3.5720422,4.2291145,0.63874078,3.1330795,0.79559845,0.81647795,0.63538671,0.47048521,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
61,Albania,Europe & Central Asia,Upper middle income,avg,daughter,8.8502302,11.083283,3.5783067,4.3181601,0.6156162,2.6012766,0.57770497,0.84640723,0.63376766,0.44910011,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
62,Albania,Europe & Central Asia,Upper middle income,avg,son,7.8477635,11.346029,3.4927619,4.1172175,0.66779953,3.8013506,1.0,0.79394144,0.63771832,0.50614733,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
63,Albania,Europe & Central Asia,Upper middle income,dad,all,8.6818953,11.187571,3.8094923,4.2263222,0.67726505,3.0423844,0.84086925,0.8654657,0.65252805,0.49696937,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
64,Albania,Europe & Central Asia,Upper middle income,dad,daughter,9.2242947,11.083283,3.8074236,4.3181601,0.66812044,2.613579,0.57770497,0.87964958,0.66552079,0.50657582,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
65,Albania,Europe & Central Asia,Upper middle income,dad,son,7.9801264,11.3225,3.7059333,4.1122246,0.68834627,3.5619981,1.0,0.85224581,0.63633823,0.48082948,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
66,Albania,Europe & Central Asia,Upper middle income,max,all,9.0884743,11.197372,3.8383014,4.2291145,0.63324988,2.7191088,0.79559845,0.82685041,0.62664145,0.46830243,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
67,Albania,Europe & Central Asia,Upper middle income,max,daughter,9.5243368,11.083283,3.8520558,4.3181601,0.63021648,2.3654451,0.57770497,0.84640723,0.64062232,0.48133841,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
68,Albania,Europe & Central Asia,Upper middle income,max,son,8.5205526,11.346029,3.7552934,4.1172175,0.63690925,3.1457465,1.0,0.81134391,0.60630304,0.45069084,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
69,Albania,Europe & Central Asia,Upper middle income,mom,all,8.0946236,11.221292,3.7930055,4.2282095,0.68717557,3.4462667,0.90388846,0.8156876,0.65567809,0.52460402,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
70,Albania,Europe & Central Asia,Upper middle income,mom,daughter,8.4561825,11.096304,3.7705977,4.3128748,0.6587013,3.0063443,0.77575099,0.78607416,0.6471681,0.52764803,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
71,Albania,Europe & Central Asia,Upper middle income,mom,son,7.6252217,11.38356,3.7806563,4.1217089,0.7232402,4.0034595,1.0,0.84280962,0.6689173,0.51993591,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
72,Albania,Europe & Central Asia,Upper middle income,avg,all,9.7585344,12.510892,3.5480478,4.1261225,0.67617315,3.2677329,0.78814316,0.83386773,0.70369518,0.59762263,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
73,Albania,Europe & Central Asia,Upper middle income,avg,daughter,9.9295034,12.962085,3.4447405,3.8719802,0.70387948,3.5932107,1.0,0.81398737,0.69838142,0.67427051,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
74,Albania,Europe & Central Asia,Upper middle income,avg,son,9.5668545,12.005042,3.6580954,4.3462472,0.6452024,2.9039056,0.75051081,0.85360008,0.7088964,0.49368149,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
75,Albania,Europe & Central Asia,Upper middle income,dad,all,9.9853802,12.499552,3.8316281,4.1271234,0.70620853,3.1852303,0.84618896,0.84230936,0.72325093,0.62353432,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
76,Albania,Europe & Central Asia,Upper middle income,dad,daughter,10.163496,12.938537,3.8099916,3.8778348,0.72858202,3.4666929,1.0,0.8267045,0.7300536,0.68112099,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
77,Albania,Europe & Central Asia,Upper middle income,dad,son,9.7847338,12.005042,3.8539059,4.3462472,0.68065208,2.8637252,0.75051081,0.86130792,0.71734297,0.53661048,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
78,Albania,Europe & Central Asia,Upper middle income,max,all,10.40937,12.510892,3.7295601,4.1261225,0.67156386,2.7681122,0.78814316,0.8263827,0.69331235,0.5989663,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
79,Albania,Europe & Central Asia,Upper middle income,max,daughter,10.634737,12.962085,3.6191628,3.8719802,0.69112635,3.0266738,1.0,0.80508256,0.67690742,0.66771901,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
80,Albania,Europe & Central Asia,Upper middle income,max,son,10.156703,12.005042,3.8413994,4.3462472,0.64952362,2.4768012,0.75051081,0.84741133,0.70918101,0.50254065,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
81,Albania,Europe & Central Asia,Upper middle income,mom,all,9.5166044,12.510892,3.7170086,4.1261225,0.71004874,3.4224086,0.9276197,0.90104938,0.72878516,0.58801705,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
82,Albania,Europe & Central Asia,Upper middle income,mom,daughter,9.6661215,12.962085,3.594985,3.8719802,0.75416571,3.7540157,1.0,0.93552613,0.7394135,0.68602043,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
83,Albania,Europe & Central Asia,Upper middle income,mom,son,9.3489752,12.005042,3.8498335,4.3462472,0.66077536,3.0520434,0.88691777,0.86636716,0.71666723,0.46943349,0.77,0.748,0.999,0.956,0.377,Southern Europe,0.34,84,1690.0,55.0,21
84,Argentina,Latin America & Caribbean,Upper middle income,max,all,4.9050894,8.0206861,4.0056987,3.8773727,0.49441609,3.1806788,0.55679685,0.47215691,0.65628844,0.18646367,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
85,Argentina,Latin America & Caribbean,Upper middle income,max,daughter,5.0499606,8.1070251,4.1816301,3.9201167,0.4864153,3.1180375,0.57327491,0.44472966,0.63570786,0.17773005,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
86,Argentina,Latin America & Caribbean,Upper middle income,max,son,4.7522821,7.9296184,3.8104753,3.8344386,0.50284296,3.2466564,0.54063898,0.49937931,0.70511276,0.20050123,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
87,Argentina,Latin America & Caribbean,Upper middle income,max,all,5.7031188,8.9960041,3.9197378,3.9206853,0.58272469,3.3806677,0.66724306,0.58596265,0.79957676,0.19250001,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
88,Argentina,Latin America & Caribbean,Upper middle income,max,daughter,5.7841063,9.1985769,3.9680071,3.9721022,0.59380758,3.527178,0.67162502,0.62001991,0.77482271,0.15638275,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
89,Argentina,Latin America & Caribbean,Upper middle income,max,son,5.6025944,8.744565,3.8601925,3.8446448,0.56903905,3.1997488,0.66223472,0.54128146,0.85210127,0.2373741,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
90,Argentina,Latin America & Caribbean,Upper middle income,max,all,7.0733933,10.312203,3.8805463,3.5558259,0.61041212,3.3849685,0.8287766,0.63371825,0.70347488,0.17622735,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
91,Argentina,Latin America & Caribbean,Upper middle income,max,daughter,6.8837838,10.332384,3.9691145,3.5851555,0.64188063,3.6325266,0.81488061,0.67394739,0.68348801,0.20008877,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
92,Argentina,Latin America & Caribbean,Upper middle income,max,son,7.2819595,10.290006,3.7728779,3.5260017,0.57611042,3.1151223,0.84686172,0.591609,0.72966266,0.1554831,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
93,Argentina,Latin America & Caribbean,Upper middle income,max,all,7.9090323,10.72818,3.8875661,3.3399975,0.5991115,3.0521748,0.86869264,0.67843127,0.68447745,0.16959819,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
94,Argentina,Latin America & Caribbean,Upper middle income,max,daughter,7.7144732,10.911832,3.8121037,3.3391511,0.6218105,3.4268,0.88053811,0.68146753,0.72558123,0.18381152,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
95,Argentina,Latin America & Caribbean,Upper middle income,max,son,8.1301718,10.519437,3.9624758,3.3308349,0.57300913,2.6213825,0.85382926,0.6746462,0.64544988,0.15623769,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
96,Argentina,Latin America & Caribbean,Upper middle income,max,all,9.3038645,11.704976,3.8833456,2.7949085,0.58756822,2.7177947,0.8938002,0.8100667,0.75086212,0.21507964,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
97,Argentina,Latin America & Caribbean,Upper middle income,max,daughter,9.0241613,11.800268,3.9656246,2.7768066,0.63084406,3.0836747,0.89431018,0.85069394,0.76732719,0.23291874,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
98,Argentina,Latin America & Caribbean,Upper middle income,max,son,9.6331167,11.592804,3.7598145,2.8134861,0.53596288,2.2814925,0.89289778,0.76063019,0.73068064,0.19712082,0.752,0.639,1.0,0.977,0.39,Latin America and the Caribbean,0.17,90,6344.0,278.0,24
99,Australia,East Asia & Pacific,High income,avg,all,9.0574608,11.845124,3.066514,2.8566298,0.55209357,3.0778522,0.83594918,0.67114598,0.55040485,0.41574585,0.731,0.7,1.0,0.968,0.258,Australia and New Zealand,0.88,99,25705.0,1390.0,24
100,Australia,East Asia & Pacific,High income,avg,daughter,9.0938492,11.504244,2.962837,2.8642375,0.47452414,2.6390545,0.68615264,0.60490245,0.44227108,0.39320031,0.731,0.7,1.0,0.968,0.258,Australia and New Zealand,0.88,99,25705.0,1390.0,24
101,Australia,East Asia & Pacific,High income,avg,son,9.0152073,12.240948,3.1843514,2.7981706,0.64329249,3.5937495,0.90423709,0.74809194,0.6774053,0.44461882,0.731,0.7,1.0,0.968,0.258,Australia and New Zealand,0.88,99,25705.0,1390.0,24
