,mean,std,min,25%,50%,75%,max
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",57.34941881890391,11.684346799759824,30.2360000610352,49.5597505569458,57.0709991455078,64.31525230407718,90.4469985961914
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",33.09534100167892,17.196830475740715,1.82099997997284,20.679249763488777,29.4914999008179,44.872750282287626,87.9530029296875
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",45.33296332976397,15.167650211536335,11.5319995880127,33.4892511367798,44.8705005645752,55.7919998168945,91.96499633789058
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",39.39441295997769,15.044776104571794,8.15799999237061,27.9635000228882,38.094001770019496,49.394250869751,89.9359970092773
"Fertility rate, total (births per woman)",3.1888273261413986,1.658425658921711,1.035,1.8165,2.623,4.426,8.606
Fixed telephone subscriptions,3865576.091588617,18015884.279381678,0.0,35902.25,281003.5,1830250.0,367786000.0
Fixed telephone subscriptions (per 100 people),19.172911542473162,20.064125551686796,0.0,2.36946317225,12.71465703,30.160334345000003,135.6036654
"Foreign direct investment, net inflows (% of GDP)",8.453262086984719,59.86482151941713,-58.322880479128,0.806602279904221,2.42957931299215,5.32237544034606,1846.59636559035
"Foreign direct investment, net inflows (BoP, current US$)",5594784550.139478,23936389290.72551,-239337011214.707,34677500.0,328670640.7988205,2242743005.2991924,733826501994.524
Forest area (% of land area),31.476389881210462,23.97738609987395,0.0,10.4979360285311,30.459057071960306,48.5091835662613,98.9102564102564
Forest area (sq. km),174063.0563756891,753674.913553703,0.0,1310.0,17130.999755859397,86876.0009765625,8151356.25
GDP (constant 2010 US$),225311912552.1545,722911668381.6282,21441966.957086302,4156811958.7046375,17436383757.28695,123116798541.724,11537160224371.0
GDP (current US$),187108967565.97766,699159293788.5479,8824447.74022325,2765363128.49162,12705357103.0056,82826141595.0334,14342902842915.9
GDP growth (annual %),3.4855442953322515,6.319988309928533,-64.0471065752367,1.3686174593657776,3.5999874520092856,5.841376312398777,149.972963487965
GDP per capita (constant 2010 US$),13841.332263905668,21150.274523367363,164.336602268298,1500.20675466732,4727.5892001045095,16586.7482534954,196061.416844238
GDP per capita (current US$),12177.660175663028,20251.8579384162,111.927223529279,1047.93427825056,3774.3100108461304,14755.09492428275,189422.21876884
GDP per capita growth (annual %),1.9802664569379351,6.134827080187126,-64.99237270154961,-0.09406753245269785,2.03700974834095,4.265925822877829,140.37076973895
"GDP per capita, PPP (constant 2017 international $)",17256.13885921538,19194.738413612085,436.718869296965,3404.7490332056495,10290.0012972293,24603.122349063775,115415.434682835
"GDP per capita, PPP (current international $)",14637.807701057714,17937.45175257025,285.586092280675,2730.208145736645,7684.81762197578,19818.670836088502,141634.972507371
"GDP, PPP (constant 2017 international $)",362151510448.2019,1117826791575.735,23313432.6214367,10381784952.3026,43862095498.6253,250380291905.2505,22526559322399.5
"GDP, PPP (current international $)",307803235698.355,1073728924372.6394,13751039.237160098,7748769424.464061,35215424154.087204,195099012538.73526,23460170142987.6
GNI (current US$),196914983815.1628,722064862230.1958,24960328.954174,2929147246.057815,13480937738.5187,91587089341.38295,14308059753343.8
"GNI per capita, Atlas method (current US$)",10314.846416382252,15984.90047558505,110.0,980.0,3500.0,12410.0,121890.0
"GNI per capita, PPP (current international $)",13935.751925415485,16779.830817695867,270.0,2780.0,7545.0,18995.0,132440.0
"GNI, Atlas method (current US$)",199934736081.2024,725045241216.7367,24247953.4112441,3098413750.5765104,13930909591.71685,96050274802.037,14554340648212.5
"GNI, PPP (current international $)",313464553203.9842,1086622908571.1536,39423211.9664439,7972462732.6997,35240910553.464,198702374392.595,23403178554979.1
"Immunization, DPT (% of children ages 12-23 months)",84.74458293384468,17.00416127496765,10.0,80.0,91.0,97.0,99.0
"Immunization, measles (% of children ages 12-23 months)",83.64298060303437,16.738912253514467,8.0,76.0,90.0,96.0,99.0
"Inflation, GDP deflator (annual %)",28.845536372821424,303.8304599134979,-31.5659149794624,1.63165610471752,4.11518630041306,9.726749609208529,15444.3841802057
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",39.72447646121147,16.65418790443618,4.17700004577637,27.925250530242952,37.04500007629396,51.4707508087158,88.99099731445308
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",53.4175984764461,13.868838511637977,12.9969997406006,43.1215000152588,53.4955005645752,63.70525074005128,93.6650009155273
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",46.76308045631568,13.812181941118038,13.6180000305176,36.67099857330322,45.17549896240236,56.1450004577637,91.3030014038086
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",50.376615006647704,15.97960582023605,5.6869997978210405,41.449001312255895,50.899999618530245,60.5637493133545,90.7699966430664
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",55.443638873959856,17.15470255062329,5.93599987030029,45.254000663757324,58.140998840332,67.83900260925297,91.8310012817383
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",73.86269529223216,8.657699366993704,46.9169998168945,67.71124839782718,74.3715019226074,80.1805000305176,96.2779998779297
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",78.35276624400882,7.596654975581534,49.220001220703104,74.50149917602539,79.24499893188475,83.477746963501,96.5080032348633
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",62.24806887357013,10.388899103138844,36.8279991149902,55.50249958038331,61.912500381469755,68.61349868774411,91.1019973754883
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",67.16571862512114,10.369545404983665,37.957000732421896,61.0900001525879,68.33499908447266,74.0555000305176,92.4530029296875
"Labor force, female (% of total labor force)",40.19993091249416,9.507671175618306,7.49564952903417,36.77548690448398,43.2045735709757,46.8886922579103,56.0311165987448
"Labor force, total",15161474.378470901,66561629.40397749,32044.0,872907.0,2825813.5,8052511.5,784950069.0
Land area (sq. km),572697.4836597505,1733990.9834997265,2.0,10830.0,88780.0,425400.0,16389950.0
"Life expectancy at birth, female (years)",70.87403892993379,10.18042709100464,27.571,64.036,74.0,78.3845,87.32
"Life expectancy at birth, male (years)",65.94537348371783,9.424148162485363,24.834,60.085,68.023,73.0145,84.1
"Life expectancy at birth, total (years)",68.35918528569283,9.72493985833501,26.172,62.2395,70.851,75.4769024390244,85.41707317073171
Merchandise exports (current US$),47487564967.76205,155332273616.8232,0.0,437500000.0,2862500000.0,23270500000.0,2499029000000.0
Merchandise exports by the reporting economy (current US$),46419665913.73054,152193031033.73047,10416.0,407272697.0,2649708023.0,23099940958.0,2501330000000.0
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",3.8203611475573354,9.433880822861187,-9.02689134187479e-05,0.0243929837094012,0.674003347284735,3.67858442165435,100.0
Merchandise exports to high-income economies (% of total merchandise exports),66.49975588435225,23.062860582840333,0.0073598047902592,53.86044877814852,71.87003078739474,84.33469568645182,100.0
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),7.557147372820296,12.824507714944481,4.03933558722091e-05,0.7603912973743852,2.4802237103880547,8.190675510829088,99.9681486871988
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),15.722984698892029,15.951367005042021,8.581066062068059e-05,4.205317416506626,11.1223318938426,21.2380748897464,99.9926390201908
Merchandise imports (current US$),45045958466.847694,137134208123.9305,4000000.0,882000000.0,4075000000.0,24331000000.0,2135748000000.0
Merchandise imports by the reporting economy (current US$),44397572926.60999,134353783216.1705,2647499.0,891405734.85,4121590664.0,24155328111.5,2134030000000.0
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",3.4529111456894155,6.661916268003982,-3.375118230956859e-08,0.10346803493454425,0.824265667346445,3.6426173806438276,76.77316213910142
Merchandise imports from high-income economies (% of total merchandise imports),64.24470495916624,20.695708023746665,1.7835000728114598,51.15995204517275,67.11032063569985,81.12669732513872,100.0
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),9.92892129729418,9.808832387714894,9.806737454126509e-07,3.0481863410674404,6.893347393390975,13.6678830386027,75.1300323052715
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),5.158831704787607,9.254917564518571,3.75975447015653e-05,0.5975034920075045,1.6405164297945702,3.801490326236325,59.2031837766086
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),2.84498761967874,6.934071377247744,7.22132485258407e-06,0.39814576900581294,0.9370209038133931,2.5193783639769975,90.4624115627818
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),16.78768394449176,13.185231048433613,0.0001448580121792,6.51357440384994,14.1064184448989,24.0121872470945,89.3551696407237
Merchandise trade (% of GDP),63.88713211339486,38.382804779788586,4.90943599899642,40.1337970492832,55.045364049032095,78.4864049167351,435.219125328659
Mobile cellular subscriptions,14527685.558048112,78379360.27639589,0.0,15000.0,480584.0,6257166.0,1725695000.0
Mobile cellular subscriptions (per 100 people),49.88571269058083,52.1466293329746,0.0,0.759963739,30.10199087,96.14207379,212.6389865
"Mortality rate, adult, female (per 1,000 female adults)",161.3389487344219,112.54901726195578,31.873,79.411,122.993,219.111,685.0260000000001
"Mortality rate, adult, male (per 1,000 male adults)",232.23323162040546,117.67070795223582,41.498000000000005,144.431,212.185,295.77,753.695
"Mortality rate, infant (per 1,000 live births)",33.47026217228465,31.426280626214066,1.5,8.9,21.9,50.3,176.5
"Mortality rate, infant, female (per 1,000 live births)",30.41683520599251,28.984838078824932,1.4,8.0,19.7,45.1,163.2
"Mortality rate, infant, male (per 1,000 live births)",36.36631086142322,33.775165873820335,1.6,9.7,24.1,55.2,189.2
"Mortality rate, neonatal (per 1,000 live births)",18.03194756554307,14.526743618395107,0.8,5.6,13.6,27.3,74.3
"Mortality rate, under-5 (per 1,000 live births)",47.93340823970038,52.15650188866237,1.7,10.5,25.8,69.85,328.6
"Mortality rate, under-5, female (per 1,000 live births)",44.66436329588015,49.76446310785099,1.5,9.4,23.3,64.6,326.0
"Mortality rate, under-5, male (per 1,000 live births)",51.03925093632959,54.467190942057165,1.8,11.475,28.2,74.825,331.1
Number of deaths ages 10-14 years,2318.0162921348315,9711.583834232028,0.0,40.0,225.0,1597.75,140520.0
Number of deaths ages 15-19 years,3614.9629213483145,13981.719244236732,0.0,95.75,438.5,2611.25,189432.0
Number of deaths ages 20-24 years,4379.2398876404495,16914.729413114495,0.0,133.0,624.5,3002.0,223796.0
Number of deaths ages 5-9 years,3995.7153558052432,17096.460326349876,0.0,37.0,266.5,2294.0,310340.0
Number of infant deaths,31325.17509363296,138976.40776327436,0.0,310.0,2207.0,19007.25,2400555.0
Number of neonatal deaths,18834.991198501873,92102.27799273854,0.0,196.0,1317.0,10117.5,1579257.0
Number of under-five deaths,44015.93202247191,192969.3236903212,0.0,370.75,2955.5,24435.0,3419688.0
Population ages 0-14 (% of total population),31.20555291020574,10.75822126136745,12.212456077312698,21.156796939998948,30.965643236889797,41.4144741938278,51.5742409068904
"Population ages 0-14, female",4567873.252719984,17112015.531491082,7244.0,229141.0,862216.0,3260855.5,179642962.0
"Population ages 0-14, female (% of female population)",30.734090116705104,10.770441482450853,11.9573475817412,20.588603656950124,30.8612849450176,41.00417488433093,50.2779292756439
"Population ages 0-14, male",4877063.629318573,18926646.388545774,8016.0,235584.5,903386.0,3370134.5,200813943.0
"Population ages 0-14, male (% of male population)",31.829244272048037,10.827442815113535,8.62946165298259,21.875618762875355,31.53199610554085,42.026372352478276,53.0394742235643
"Population ages 0-14, total",9444942.641534643,36035561.05580366,15256.0,464522.0,1769370.0,6630618.0,380433169.0
"Population ages 00-04, female (% of female population)",10.89795357653298,4.569099346610209,2.95295691425798,6.6002226098364645,10.4718991875223,14.973564053096775,21.0850856598632
"Population ages 00-04, male (% of male population)",11.296381966817933,4.625703469356017,3.23919942667543,7.111276878851123,10.7171023974953,15.354825297897,22.384068001286103
"Population ages 05-09, female (% of female population)",10.226904331341457,3.59370893166919,3.4883877143193,6.863480746533409,10.28066790492445,13.642908329998974,17.0240859504192
"Population ages 05-09, male (% of male population)",10.589944669691649,3.6056704170953604,2.8153839466938995,7.250012589090096,10.55977837286925,14.029570870610602,17.927823349033602
"Population ages 10-14, female (% of female population)",9.609232208830665,2.8001855112829923,3.65661752526089,7.104768678986489,10.08723702445815,12.121257523206625,15.974620986759
"Population ages 10-14, male (% of male population)",9.942917635538453,2.8096004334054925,2.37971265894402,7.5457540217481744,10.3153045964626,12.450898995109249,16.2730003820982
"Population ages 15-19, female (% of female population)",8.99098911819311,2.057884906645098,3.65251830477498,7.299323906845193,9.625312374237195,10.62559125611385,14.0155447167436
"Population ages 15-19, male (% of male population)",9.285325808196433,2.0212518002243263,2.4328378505012003,7.7938574606891615,9.856630961055565,10.849966872344998,14.2520549804644
Population ages 15-64 (% of total population),61.50050162298226,6.9983373632927455,45.8958515175884,55.21832534231157,63.0229485610876,66.93432609889442,86.3982477225187
"Population ages 15-64, female",10311270.760450467,43145000.64889978,19860.0,479755.0,1921057.0,5481852.0,484432182.0
"Population ages 15-64, female (% of female population)",61.01332892142465,6.207794454389804,46.75574005174229,55.36698700334577,62.53771289923776,65.9414473342226,77.248843560072
"Population ages 15-64, male",10586070.62740981,45821803.33467797,18437.0,501813.5,1913044.0,5585174.5,511381340.0
"Population ages 15-64, male (% of male population)",61.87838910298805,7.816581882644297,44.7712492344476,54.9560715359079,63.19692157596025,67.86765364531263,90.88127928843252
"Population ages 15-64, total",20897341.507157855,88959948.57635085,38300.0,1006939.0,3838961.0,11026446.0,995702268.0
"Population ages 20-24, female (% of female population)",8.385615700199033,1.4121854099225115,3.65535501831274,7.419924905681746,8.71250579627645,9.360182014558088,12.7093890443871
"Population ages 20-24, male (% of male population)",8.649009638844207,1.291475518585181,4.55257495449766,7.864856701673169,8.834747162395601,9.487977985380505,14.2198579775643
"Population ages 25-29, female (% of female population)",7.801007144999389,1.1503398129057465,4.67394500808705,7.083275305676077,7.728345643900324,8.422885813893652,14.6281020894769
"Population ages 25-29, male (% of male population)",8.039550461343385,1.458602113260904,4.51271820448878,7.260532980575755,7.875165299902189,8.533219738718099,19.276638795489
"Population ages 30-34, female (% of female population)",7.162961103399979,1.1638799975762306,3.64000364790745,6.356402925108128,7.032838059610235,7.7336249558494625,15.3621842248945
"Population ages 30-34, male (% of male population)",7.352462800625278,1.6523825457293528,3.62870573883414,6.365083137673205,7.184908703549825,7.907287313317093,20.093868541515103
"Population ages 35-39, female (% of female population)",6.469023446881016,1.226881804671594,3.55403150386005,5.45712857146009,6.529531577795785,7.255490723875981,12.7976642296885
"Population ages 35-39, male (% of male population)",6.613549018368637,1.6298128519713577,3.43275232084477,5.36220108579762,6.624413006425369,7.464009175036115,17.2765771425301
"Population ages 40-44, female (% of female population)",5.757339518100291,1.4039230599858525,2.3441455429169302,4.408093797223917,5.8514777228030095,6.86870951062874,10.5976636165829
"Population ages 40-44, male (% of male population)",5.865288752723517,1.6688863364246764,1.91334094924184,4.347170862545342,5.889900401760315,7.108759620386334,12.9411190942059
"Population ages 45-49, female (% of female population)",5.047749230993931,1.5914300737079639,1.91691334081862,3.555202674888483,4.873616509043606,6.4359918858814025,9.48749811718632
"Population ages 45-49, male (% of male population)",5.0903941143272275,1.7337123744595775,1.35729272260072,3.4909015320682073,4.89276323088405,6.608965087291704,10.7811186260147
"Population ages 50-54, female (% of female population)",4.394073086822884,1.6889096114081898,1.5671692717384198,2.90517094393827,3.920598556089196,5.890015911608291,9.25591175646422
"Population ages 50-54, male (% of male population)",4.35073766950143,1.7598710786918017,1.17938848809806,2.8016916353074595,3.85649437432189,5.87910196806824,9.10798924548894
"Population ages 55-59, female (% of female population)",3.7827343247521936,1.7015535589264732,0.911512887118796,2.345408255985255,3.1833405815973004,5.15714883783807,8.71892172481071
"Population ages 55-59, male (% of male population)",3.6465286039800118,1.7081813056841384,1.0798539599326,2.2119116045241425,3.0128131774250955,4.99288115643638,8.574969678970389
"Population ages 60-64, female (% of female population)",3.2218362470828286,1.658457827352446,0.5825039234029069,1.880769699784345,2.60168973028291,4.530099843403807,7.89279875366604
"Population ages 60-64, male (% of male population)",2.985542235077928,1.5773573611502263,0.5559872185760469,1.7041706984636,2.38042174134464,4.200010783932946,7.839197599141491
Population ages 65 and above (% of total population),7.293945466811996,5.139486327706037,0.685591605508686,3.2655920771366826,4.94403964511789,10.977888271425677,28.002049277811498
"Population ages 65 and above, female",1297248.7096774194,4972638.149056175,1436.0,41331.5,206218.0,724313.0,85062331.0
"Population ages 65 and above, female (% of female population)",8.252580961870244,5.994726373289571,0.8745923923135771,3.615547274926698,5.5350653431401495,12.4224930080038,30.8789684127046
"Population ages 65 and above, male",1027878.5735827448,4365949.667121451,1031.0,31974.5,155579.0,520635.5,75286452.0
"Population ages 65 and above, male (% of male population)",6.292366624963912,4.281002457682555,0.4892590585849679,2.944433521921267,4.455577915961135,9.20389801901744,24.9887433977328
"Population ages 65 and above, total",2325121.399503722,9321302.450640038,2468.0,74620.0,364332.0,1230782.0,160348563.0
"Population ages 65-69, female (% of female population)",2.692239804268014,1.5896283485329037,0.318094381535787,1.4469528524404525,2.0469153771194604,3.830831708545285,7.595663844707941
"Population ages 65-69, male (% of male population)",2.353997942652512,1.391239114260722,0.1902360970880489,1.2535393741008376,1.8132434904209251,3.404257579904038,7.44686983628585
"Population ages 70-74, female (% of female population)",2.134186170960466,1.4389952981793797,0.202416660804928,1.03037828582404,1.52268065345147,3.059414030382152,7.348950559828321
"Population ages 70-74, male (% of male population)",1.7229447575596597,1.13719506309236,0.0953675652895643,0.8476634607089939,1.24874022626157,2.441588673468427,6.8591957005542
"Population ages 75-79, female (% of female population)",1.5879074847952475,1.2486772143949416,0.138325787661616,0.641881077878738,1.02526232515785,2.34118153225139,5.80168485315873
"Population ages 75-79, male (% of male population)",1.1530989582868887,0.8649184861329731,0.0666095002573441,0.4914208457451927,0.777481395615764,1.6732896166155675,4.8898060397115
"Population ages 80 and above, female (% of female population)",1.8382475018465168,1.8652137026562778,0.1195709707990099,0.47197052912508425,0.9809551673233975,2.7826091874079,10.867063927556698
"Population ages 80 and above, male (% of male population)",1.0623249664648515,0.9958355834514712,0.0600534774575099,0.3268301730702622,0.631558695392515,1.5444847574646126,6.3993642646824505
Population density (people per sq. km of land area),278.35341627828063,1299.8169208790657,0.136435619442076,29.57891782397705,77.389796129745,176.72714796840052,19196.0
Population growth (annual %),1.461274264328367,1.5426697847892117,-9.08063846475098,0.4537757976614393,1.34008691434997,2.4157731828915776,17.5109483044871
"Population, female",16176392.727619775,64165264.307470925,31491.0,812059.0,3201443.0,9350446.0,680596325.0
"Population, female (% of total population)",50.01784063965149,2.8876653113300574,23.2890539732064,49.646210643348795,50.385655767952244,51.04812363044271,54.5648229151264
"Population, male",16491012.81943119,68202078.39521232,30312.0,866502.0,3206898.0,9394280.0,717118675.0
"Population, male (% of total population)",49.98215936034852,2.8876653113300574,45.4351770848736,48.951876369557304,49.614344232047756,50.353789356651205,76.7109460267936
"Population, total",29355250.692076832,125840606.28168331,8913.0,621508.5,5149499.0,16285659.5,1397715000.0
"Primary education, duration (years)",5.710090490011951,0.9156477495393023,3.0,5.0,6.0,6.0,9.0
